PubmedArticleSet,PubmedArticle,MedlineCitation,PMID,DateRevised,Year,Month,Day,Article,Journal,ISSN,JournalIssue,PubDate,Title,ISOAbbreviation,ArticleTitle,ELocationID,Abstract,AbstractText,AuthorList,Author,LastName,ForeName,Initials,AffiliationInfo,Affiliation,Language,PublicationTypeList,PublicationType,ArticleDate,MedlineJournalInfo,Country,MedlineTA,NlmUniqueID,ISSNLinking,PubmedData,History,PubMedPubDate,Hour,Minute,PublicationStatus,ArticleIdList,ArticleId
,,,30202195,,2018,9,12,,,1049-510X,,,Ethnicity & disease,Ethn Dis,b'Applying a Trauma Informed School Systems Approach: Examples from School Community-Academic Partnerships.',10.18865/ed.28.S2.417,,"b""This article concludes with recommendations for dissemination of trauma-informed practices across schools at all stages of readiness. We identify three main areas for facilitating the use of this framework: 1) assessment of school staff knowledge and awareness of trauma; 2) assessment of school and/or district's current implementation of trauma-informed principles and practices; 3) development and use of technology-assisted tools for broad dissemination of practices, data and evaluation, and workforce training of clinical and non-clinical staff.""",,,Stein,Bradley D,BD,,"RAND Corporation; Pittsburgh, PA.",eng,,Journal Article,,,United States,Ethn Dis,9109034,1049-510X,,,,6,0,epublish,,11533391
,,,30156006,,2018,8,30,,,1098-2337,,,Aggressive behavior,Aggress Behav,"b""Victimization of teachers by students in Israel and in Chile and its relations with teachers' victimization of students.""",10.1002/ab.21791,,"b""Although in recent years there has been a growing interest in victimization of teachers by their students (student-to-teacher victimization), it is not discussed in relation to students' victimization by their teachers (teacher-to-student victimization) across cultures. This study used a cross-cultural comparative design to examine the prevalence of students' reports of student-to-teacher and teacher-to-student victimization and the correlations between them, both at the student and the school levels. It compares the patterns of findings among Jewish and Arab students in Israel and a sample of Chilean students. A nationally representative student sample in Israel (N=24,243 students from 474 schools) and a Chilean purposeful sample (N=24,243 students from 37 schools) answered questions regarding being victimized by teachers, and victimizing their teachers. Four cultural groups were compared: Jewish secular, Jewish religious, Arab, and Chilean students. Findings indicate that students reported that they victimized their teachers more verbally than physically. They also reported being victimized by their teachers, more verbally and less physically and sexually. These patterns were quite similar across the cultural groups, although there were significant differences between them in the prevalence of student-to-teacher and teacher-to-student victimization. The two types of victimization were associated: students who reported being victimized by teachers also tended to report that they victimized teachers, and schools in which teacher-to-student victimization was more prevalent were also schools in which student-to-teacher victimization tended to be more frequent. We discuss these findings both theoretically and regarding their implications for policy and practice.""",,,Ascorra,Paula,P,,"Pontificia Universidad Católica de Valparaíso and Center for Research in Inclusive Education, Valparaiso, Chile.",eng,,Journal Article,,,United States,Aggress Behav,7502265,0096-140X,,,,6,0,aheadofprint,,10.1002/ab.21791
,,,30110358,,2018,8,16,,,1932-6203,,,PloS one,PLoS ONE,b'Reducing violence by teachers using the preventative intervention Interaction Competencies with Children for Teachers (ICC-T): A cluster randomized controlled trial at public secondary schools in Tanzania.',10.1371/journal.pone.0201362,,"b""The high global prevalence of school violence underlines the need for prevention. However, there are few scientifically evaluated intervention approaches that aim at preventing violence by teachers. We evaluated the feasibility and efficacy of the preventative intervention Interaction Competencies with Children for Teachers (ICC-T). In a cluster randomized controlled trial we assessed attitudes towards and use of violence by teachers (self-reported and reported by students) at eight schools in four regions in Tanzania. Two regions were randomly assigned as intervention regions. Data were assessed in the months before and three months after intervention. In total, 158 teachers (58% females; age: 32.08 years, SD = 5.65) and 486 students (54% females; age: 15.61 years, SD = 0.89) participated in this study. The feasibility was very good: Participants' acceptance was high and they reported a good integration of the core elements in their working routine. The significantly stronger decrease in the use of emotional and physical violence reported both by teachers and students as well as the stronger decrease in positive attitudes of teachers towards physical and emotional violence in the intervention schools at follow-up provide initial evidence of the efficacy. However, further evidence for the sustainability of its effect is needed.""",,,Hecker,Tobias,T,,"Department of Psychology, University of Bielefeld, Bielefeld, Germany.",eng,,Journal Article,,,United States,PLoS One,101285081,1932-6203,,,,6,0,epublish,,26087985
,,,30103776,,2018,12,12,,,1745-6215,,,Trials,Trials,b'Reducing violence against children by implementing the preventative intervention Interaction Competencies with Children for Teachers (ICC-T): study protocol for a cluster randomized controlled trial in Southwestern Uganda.',10.1186/s13063-018-2827-9,,"b'ClinicalTrials.gov, NCT03051854 . Registered on 14 February 2017.'",,,Hecker,Tobias,T,,"Department of Psychology, Bielefeld University, Postbox 100131, 33501, Bielefeld, Germany. tobias.hecker@uni-bielefeld.de.",eng,,Randomized Controlled Trial,,,England,Trials,101263253,1745-6215,,,,6,0,epublish,,26087985
,,,29999387,,2018,12,12,,,1939-0025,,,The American journal of orthopsychiatry,Am J Orthopsychiatry,"b'Experiences in bullying and/or peer victimization of vulnerable, marginalized, and oppressed children and adolescents: An introduction to the special issue.'",10.1037/ort0000330,,"b'This is an introduction to the special issue ""Bullying and Peer Victimization of Vulnerable, Marginalized, and Oppressed Youth."" The study findings included in this special issue reveal that bias-based bullying and harassment are global social problems. Each article identifies suggestions for interventions, policy, and future research. Each study presented in this special issue contributes to the bullying and school violence scholarship, which can provide avenues for serious discussions on best ways to address not only bullying but also racism, sexism, heteronormativity, homophobia, ableism, classism, and Eurocentrism, all of which accompany bias-based bullying. (PsycINFO Database Record'",,,Espelage,Dorothy L,DL,,Wayne State University.,eng,,Introductory Journal Article,,,United States,Am J Orthopsychiatry,0400640,0002-9432,,,,6,0,ppublish,,10.1037/ort0000330
,,,29990667,,2018,7,11,,,1573-2517,,,Journal of affective disorders,J Affect Disord,b'Association between sexual minority status and suicidal behavior among Chinese adolescents: A moderated mediation model.',10.1016/j.jad.2018.07.004,,b'Interpersonal relationships moderate the indirect effects of school victimization on association between sexual minority status and suicidal behavior. Early intervention addressing school violence combined with improving the quality of relationships with school peers would help prevent suicidality in sexual minority adolescents.',,,Lu,Ciyong,C,,"Department of Medical Statistics and Epidemiology, School of Public Health, Sun Yat-sen University, Guangzhou 510080, People's Republic of China; Guangdong Provincial Key Laboratory of Food, Nutrition and Health, Sun Yat-sen University, Guangzhou 510080, People's Republic of China. Electronic address: luciyong@mail.sysu.edu.cn.",eng,,"Research Support, Non-U.S. Gov't",,,Netherlands,J Affect Disord,7906073,0165-0327,,,,6,0,ppublish,,10.1016/j.jad.2018.07.004
,,,29867695,,2018,6,6,,,1664-1078,,,Frontiers in psychology,Front Psychol,b'Technological Resources to Prevent Cyberbullying During Adolescence: The Cyberprogram 2.0 Program and the Cooperative Cybereduca 2.0 Videogame.',10.3389/fpsyg.2018.00745,,"b'Bullying and cyberbullying have serious consequences for all those involved, especially the victims, and its prevalence is high throughout all the years of schooling, which emphasizes the importance of prevention. This article describes an intervention proposal, made up of a program (Cyberprogram 2.0 Garaigordobil and Martnez-Valderrey, 2014a) and a videogame (Cooperative Cybereduca 2.0 Garaigordobil and Martnez-Valderrey, 2016b) which aims to prevent and reduce cyberbullying during adolescence and which has been validated experimentally. The proposal has four objectives: (1) To know what bullying and cyberbullying are, to reflect on the people involved in these situations; (2) to become aware of the harm caused by such behaviors and the severe consequences for all involved; (3) to learn guidelines to prevent and deal with these situations: know what to do when one suffers this kind of violence or when observing that someone else is suffering it; and (4) to foster the development of social and emotional factors that inhibit violent behavior (e.g., communication, ethical-moral values, empathy, cooperation). The proposal is structured around 25 activities to fulfill these goals and it ends with the videogame. The activities are carried out in the classroom, and the online video is the last activity, which represents the end of the intervention program. The videogame (www.cybereduca.com) is a trivial pursuit game with questions and answers related to bullying/cyberbullying. This cybernetic trivial pursuit is organized around a fantasy story, a comic that guides the game. The videogame contains 120 questions about 5 topics: cyberphenomena, computer technology and safety, cybersexuality, consequences of bullying/cyberbullying, and coping with bullying/cyberbullying. To evaluate the effectiveness of the intervention, a quasi-experimental design, with repeated pretest-posttest measures and control groups, was used. During the pretest and posttest stages, 8 assessment instruments were administered. The experimental group randomly received the intervention proposal, which consisted of one weekly 1-h session during the entire school year. The results obtained with the analyses of variance of the data collected before and after the intervention in the experimental and control groups showed that the proposal significantly promoted the following aspects in the experimental group: (1) a decrease in face-to-face bullying and cyberbullying behaviors, in different types of school violence, premeditated and impulsive aggressiveness, and in the use of aggressive conflict-resolution strategies; and (2) an increase of positive social behaviors, self-esteem, cooperative conflict-resolution strategies, and the capacity for empathy. The results provide empirical evidence for the proposal. The importance of implementing programs to prevent bullying in all its forms, from the beginning of schooling and throughout formal education, is discussed.'",,,Martínez-Valderrey,Vanesa,V,,"Faculty of Psychology, University of the Basque Country (UPV/EHU), Bilbao, Spain.",eng,,Journal Article,,,Switzerland,Front Psychol,101550902,1664-1078,,,,6,1,epublish,,23721758
,,,29800470,,2018,5,26,,,0037-8046,,,Social work,Soc Work,b'Social Workers: An Important Piece of the Puzzle to Prevent and Respond to School Violence.',10.1093/sw/swy030,,,,,Bent-Goodley,Tricia B,TB,,"Tricia B. Bent-Goodley, PhD, LICSW, is professor, School of Social Work, Howard University, 601 Howard Place, NW, Washington, DC; e-mail: tbent-goodley@howard.edu.",eng,,Journal Article,,,United States,Soc Work,2984852R,0037-8046,,,,6,0,ppublish,,10.1093/sw/swy030
,,,29713946,,2018,5,2,,,1573-6709,,,The Psychiatric quarterly,Psychiatr Q,b'Automated Risk Assessment for School Violence: a Pilot Study.',10.1007/s11126-018-9581-8,,"b""School violence has increased over the past ten years. This study evaluated students using a more standard and sensitive method to help identify students who are at high risk for school violence. 103 participants were recruited through Cincinnati Children's Hospital Medical Center (CCHMC) from psychiatry outpatient clinics, the inpatient units, and the emergency department. Participants (ages 12-18) were active students in 74 traditional schools (i.e. non-online education). Collateral information was gathered from guardians before participants were evaluated. School risk evaluations were performed with each participant, and audio recordings from the evaluations were later transcribed and manually annotated. The BRACHA (School Version) and the School Safety Scale (SSS), both 14-item scales, were used. A template of open-ended questions was also used. This analysis included 103 participants who were recruited from 74 different schools. Of the 103 students evaluated, 55 were found to be moderate to high risk and 48 were found to be low risk based on the paper risk assessments including the BRACHA and SSS. Both the BRACHA and the SSS were highly correlated with risk of violence to others (Pearson correlations>0.82). There were significant differences in BRACHA and SSS total scores between low risk and high risk to others groups (p-values <0.001 under unpaired t-test). In particular, there were significant differences in individual SSS items between the two groups (p-value <0.001). Of these items, Previous Violent Behavior (Pearson Correlation=0.80), Impulsivity (0.69), School Problems (0.64), and Negative Attitudes (0.61) were positively correlated with risk to others. The novel machine learning algorithm achieved an AUC of 91.02% when using the interview content to predict risk of school violence, and the AUC increased to 91.45% when demographic and socioeconomic data were added. Our study indicates that the BRACHA and SSS are clinically useful for assessing risk for school violence. The machine learning algorithm was highly accurate in assessing school violence risk.""",,,DelBello,Melissa,M,,"University of Cincinnati, Cincinnati, USA.",eng,,Journal Article,,,United States,Psychiatr Q,0376465,0033-2720,,,,6,0,ppublish,,21381837
,,,29195172,,2018,4,30,,,1873-7757,,,Child abuse & neglect,Child Abuse Negl,"b'Corrigendum to ""Exposure to school violence at school and mental health of victimized adolescents: The mediation role of social support"" [Child Abuse Negl. 76C (2018) 342-352].'",10.1016/j.chiabu.2018.04.009,,,,,Balkis,Murat,M,,"Department of Psychological Counseling and Guidance, Pamukkale University, Denizli, Turkey.",eng,,Published Erratum,,,England,Child Abuse Negl,7801702,0145-2134,,,,6,0,ppublish,,10.1016/j.chiabu.2018.04.009
